ACLSyntaxSugarFunctionTypeMut10.sol	 live 
ACLSyntaxSugarFunctionVisMut40.sol	 live 
ACLSyntaxSugarFunctionVisMut41.sol	 live 
ACLSyntaxSugarFunctionVisMut43.sol	 live 
ACLSyntaxSugarFunctionVisMut44.sol	 live 
ACLSyntaxSugarFunctionVisMut46.sol	 live 
ACLSyntaxSugarFunctionVisMut47.sol	 live 
ACLSyntaxSugarFunctionVisMut49.sol	 live 
ACLSyntaxSugarFunctionVisMut52.sol	 live 
ACLSyntaxSugarFunctionVisMut55.sol	 live 
ACLSyntaxSugarFunctionVisMut7.sol	 live 
Live: 50
Killed: 0
Total: 50
Mutation Score: 0
ACLSyntaxSugarAssignmentMut10.sol	 live 
ACLSyntaxSugarAssignmentMut100.sol	 live 
ACLSyntaxSugarAssignmentMut101.sol	 live 
ACLSyntaxSugarAssignmentMut102.sol	 live 
ACLSyntaxSugarAssignmentMut103.sol	 live 
ACLSyntaxSugarAssignmentMut104.sol	 live 
ACLSyntaxSugarAssignmentMut105.sol	 live 
ACLSyntaxSugarAssignmentMut106.sol	 live 
ACLSyntaxSugarAssignmentMut107.sol	 live 
ACLSyntaxSugarAssignmentMut108.sol	 live 
ACLSyntaxSugarAssignmentMut109.sol	 live 
ACLSyntaxSugarAssignmentMut11.sol	 killed 
ACLSyntaxSugarAssignmentMut110.sol	 live 
ACLSyntaxSugarAssignmentMut111.sol	 live 
ACLSyntaxSugarAssignmentMut112.sol	 live 
ACLSyntaxSugarAssignmentMut12.sol	 killed 
ACLSyntaxSugarAssignmentMut121.sol	 killed 
ACLSyntaxSugarAssignmentMut122.sol	 live 
ACLSyntaxSugarAssignmentMut123.sol	 killed 
ACLSyntaxSugarAssignmentMut124.sol	 killed 
ACLSyntaxSugarAssignmentMut125.sol	 live 
ACLSyntaxSugarAssignmentMut126.sol	 killed 
ACLSyntaxSugarAssignmentMut127.sol	 killed 
ACLSyntaxSugarAssignmentMut128.sol	 live 
ACLSyntaxSugarAssignmentMut129.sol	 live 
ACLSyntaxSugarAssignmentMut13.sol	 live 
ACLSyntaxSugarAssignmentMut130.sol	 live 
ACLSyntaxSugarAssignmentMut131.sol	 live 
ACLSyntaxSugarAssignmentMut132.sol	 killed 
ACLSyntaxSugarAssignmentMut133.sol	 killed 
ACLSyntaxSugarAssignmentMut134.sol	 live 
ACLSyntaxSugarAssignmentMut135.sol	 killed 
ACLSyntaxSugarAssignmentMut136.sol	 live 
ACLSyntaxSugarAssignmentMut137.sol	 live 
ACLSyntaxSugarAssignmentMut138.sol	 live 
ACLSyntaxSugarAssignmentMut139.sol	 live 
ACLSyntaxSugarAssignmentMut14.sol	 killed 
ACLSyntaxSugarAssignmentMut140.sol	 live 
ACLSyntaxSugarAssignmentMut141.sol	 live 
ACLSyntaxSugarAssignmentMut142.sol	 live 
ACLSyntaxSugarAssignmentMut143.sol	 live 
ACLSyntaxSugarAssignmentMut144.sol	 live 
ACLSyntaxSugarAssignmentMut145.sol	 live 
ACLSyntaxSugarAssignmentMut146.sol	 live 
ACLSyntaxSugarAssignmentMut147.sol	 live 
ACLSyntaxSugarAssignmentMut148.sol	 live 
ACLSyntaxSugarAssignmentMut149.sol	 live 
ACLSyntaxSugarAssignmentMut15.sol	 killed 
ACLSyntaxSugarAssignmentMut150.sol	 live 
ACLSyntaxSugarAssignmentMut151.sol	 live 
ACLSyntaxSugarAssignmentMut152.sol	 live 
ACLSyntaxSugarAssignmentMut153.sol	 live 
ACLSyntaxSugarAssignmentMut154.sol	 live 
ACLSyntaxSugarAssignmentMut155.sol	 live 
ACLSyntaxSugarAssignmentMut156.sol	 live 
ACLSyntaxSugarAssignmentMut157.sol	 live 
ACLSyntaxSugarAssignmentMut158.sol	 live 
ACLSyntaxSugarAssignmentMut159.sol	 live 
ACLSyntaxSugarAssignmentMut16.sol	 live 
ACLSyntaxSugarAssignmentMut160.sol	 live 
ACLSyntaxSugarAssignmentMut161.sol	 killed 
ACLSyntaxSugarAssignmentMut162.sol	 live 
ACLSyntaxSugarAssignmentMut163.sol	 live 
ACLSyntaxSugarAssignmentMut164.sol	 killed 
ACLSyntaxSugarAssignmentMut165.sol	 live 
ACLSyntaxSugarAssignmentMut166.sol	 killed 
ACLSyntaxSugarAssignmentMut167.sol	 killed 
ACLSyntaxSugarAssignmentMut168.sol	 live 
ACLSyntaxSugarAssignmentMut169.sol	 killed 
ACLSyntaxSugarAssignmentMut170.sol	 live 
ACLSyntaxSugarAssignmentMut171.sol	 live 
ACLSyntaxSugarAssignmentMut172.sol	 killed 
ACLSyntaxSugarAssignmentMut173.sol	 live 
ACLSyntaxSugarAssignmentMut174.sol	 killed 
ACLSyntaxSugarAssignmentMut175.sol	 killed 
ACLSyntaxSugarAssignmentMut176.sol	 live 
ACLSyntaxSugarAssignmentMut177.sol	 killed 
ACLSyntaxSugarAssignmentMut178.sol	 live 
ACLSyntaxSugarAssignmentMut179.sol	 live 
ACLSyntaxSugarAssignmentMut180.sol	 killed 
ACLSyntaxSugarAssignmentMut181.sol	 live 
ACLSyntaxSugarAssignmentMut182.sol	 killed 
ACLSyntaxSugarAssignmentMut183.sol	 killed 
ACLSyntaxSugarAssignmentMut184.sol	 live 
ACLSyntaxSugarAssignmentMut25.sol	 killed 
ACLSyntaxSugarAssignmentMut26.sol	 live 
ACLSyntaxSugarAssignmentMut27.sol	 killed 
ACLSyntaxSugarAssignmentMut28.sol	 killed 
ACLSyntaxSugarAssignmentMut29.sol	 live 
ACLSyntaxSugarAssignmentMut30.sol	 killed 
ACLSyntaxSugarAssignmentMut31.sol	 killed 
ACLSyntaxSugarAssignmentMut32.sol	 live 
ACLSyntaxSugarAssignmentMut33.sol	 live 
ACLSyntaxSugarAssignmentMut34.sol	 live 
ACLSyntaxSugarAssignmentMut35.sol	 live 
ACLSyntaxSugarAssignmentMut36.sol	 killed 
ACLSyntaxSugarAssignmentMut37.sol	 live 
ACLSyntaxSugarAssignmentMut38.sol	 live 
ACLSyntaxSugarAssignmentMut39.sol	 killed 
ACLSyntaxSugarAssignmentMut40.sol	 live 
ACLSyntaxSugarAssignmentMut49.sol	 killed 
ACLSyntaxSugarAssignmentMut50.sol	 live 
ACLSyntaxSugarAssignmentMut51.sol	 killed 
ACLSyntaxSugarAssignmentMut52.sol	 killed 
ACLSyntaxSugarAssignmentMut53.sol	 live 
ACLSyntaxSugarAssignmentMut54.sol	 killed 
ACLSyntaxSugarAssignmentMut55.sol	 killed 
ACLSyntaxSugarAssignmentMut56.sol	 live 
ACLSyntaxSugarAssignmentMut57.sol	 live 
ACLSyntaxSugarAssignmentMut58.sol	 live 
ACLSyntaxSugarAssignmentMut59.sol	 live 
ACLSyntaxSugarAssignmentMut60.sol	 killed 
ACLSyntaxSugarAssignmentMut61.sol	 live 
ACLSyntaxSugarAssignmentMut62.sol	 live 
ACLSyntaxSugarAssignmentMut63.sol	 killed 
ACLSyntaxSugarAssignmentMut64.sol	 live 
ACLSyntaxSugarAssignmentMut65.sol	 live 
ACLSyntaxSugarAssignmentMut66.sol	 live 
ACLSyntaxSugarAssignmentMut67.sol	 live 
ACLSyntaxSugarAssignmentMut68.sol	 live 
ACLSyntaxSugarAssignmentMut69.sol	 live 
ACLSyntaxSugarAssignmentMut70.sol	 live 
ACLSyntaxSugarAssignmentMut71.sol	 live 
ACLSyntaxSugarAssignmentMut72.sol	 live 
ACLSyntaxSugarAssignmentMut81.sol	 killed 
ACLSyntaxSugarAssignmentMut82.sol	 live 
ACLSyntaxSugarAssignmentMut83.sol	 killed 
ACLSyntaxSugarAssignmentMut84.sol	 killed 
ACLSyntaxSugarAssignmentMut85.sol	 live 
ACLSyntaxSugarAssignmentMut86.sol	 killed 
ACLSyntaxSugarAssignmentMut87.sol	 killed 
ACLSyntaxSugarAssignmentMut88.sol	 live 
ACLSyntaxSugarAssignmentMut89.sol	 live 
ACLSyntaxSugarAssignmentMut9.sol	 killed 
ACLSyntaxSugarAssignmentMut90.sol	 live 
ACLSyntaxSugarAssignmentMut91.sol	 live 
ACLSyntaxSugarAssignmentMut92.sol	 killed 
ACLSyntaxSugarAssignmentMut93.sol	 live 
ACLSyntaxSugarAssignmentMut94.sol	 live 
ACLSyntaxSugarAssignmentMut95.sol	 killed 
ACLSyntaxSugarAssignmentMut96.sol	 live 
ACLSyntaxSugarAssignmentMut97.sol	 live 
ACLSyntaxSugarAssignmentMut98.sol	 live 
ACLSyntaxSugarAssignmentMut99.sol	 live 
ACLSyntaxSugarBinMut1.sol	 killed 
ACLSyntaxSugarBinMut10.sol	 live 
ACLSyntaxSugarBinMut11.sol	 killed 
ACLSyntaxSugarBinMut12.sol	 live 
ACLSyntaxSugarBinMut13.sol	 live 
ACLSyntaxSugarBinMut14.sol	 live 
ACLSyntaxSugarBinMut15.sol	 live 
ACLSyntaxSugarBinMut16.sol	 killed 
ACLSyntaxSugarBinMut17.sol	 live 
ACLSyntaxSugarBinMut18.sol	 live 
ACLSyntaxSugarBinMut19.sol	 killed 
ACLSyntaxSugarBinMut2.sol	 killed 
ACLSyntaxSugarBinMut20.sol	 live 
ACLSyntaxSugarBinMut5.sol	 killed 
ACLSyntaxSugarBinMut6.sol	 live 
ACLSyntaxSugarBinMut7.sol	 live 
Live: 108
Killed: 52
Total: 160
Mutation Score: 0.325
